patient_index,mean_pairwise_cosine,pair_cosines
64,0.08872651,"{""0-1"": 0.1640787273645401, ""0-2"": -0.0849856585264206, ""1-2"": 0.18708646297454834}"
65,0.07281296,"{""0-1"": -0.01656435988843441, ""0-2"": 0.13780328631401062, ""1-2"": 0.0971999391913414}"
66,0.03339842,"{""0-1"": 0.051033347845077515, ""0-2"": 0.040753427892923355, ""1-2"": 0.008408487774431705}"
67,-0.01444846,"{""0-1"": 0.027113530784845352, ""0-2"": -0.045974716544151306, ""1-2"": -0.0244841817766428}"
68,-0.02268445,"{""0-1"": -0.022684451192617416}"
69,0.03456716,"{""0-1"": 0.10896629840135574, ""0-2"": 0.04720410704612732, ""1-2"": -0.0524689257144928}"
70,-0.03999310,"{""0-1"": -0.011239437386393547, ""0-2"": 0.0012038142886012793, ""1-2"": -0.10994366556406021}"
71,0.23587828,"{""0-1"": 0.16313375532627106, ""0-2"": -0.0720684826374054, ""1-2"": 0.6165695786476135}"
72,0.13401980,"{""0-1"": -0.040855325758457184, ""0-2"": 0.3925536572933197, ""1-2"": 0.05036107078194618}"
73,0.00028803,"{""0-1"": 0.14841677248477936, ""0-2"": -0.04673760384321213, ""1-2"": -0.1008150726556778}"
74,-0.10353000,"{""0-1"": -0.10353000462055206}"
75,-0.02570803,"{""0-1"": -0.0668475404381752, ""0-2"": 0.03450923040509224, ""1-2"": -0.04478577896952629}"
76,0.16197932,"{""0-1"": 0.1619793176651001}"
77,0.23351946,"{""0-1"": 0.23351946473121643}"
78,0.21014095,"{""0-1"": 0.461393266916275, ""0-2"": 0.12859424948692322, ""1-2"": 0.04043532907962799}"
79,-0.04941131,"{""0-1"": -0.049411311745643616}"
80,0.02522416,"{""0-1"": 0.087696373462677, ""0-2"": -0.04164225235581398, ""1-2"": 0.029618365690112114}"
81,-0.00811037,"{""0-1"": -0.009005464613437653, ""0-2"": -0.02705521509051323, ""1-2"": 0.011729583144187927}"
82,0.01746045,"{""0-1"": 0.017460454255342484}"
83,1.00000012,"{""0-1"": 1.0000001192092896}"
84,0.13379205,"{""0-1"": 0.035779621452093124, ""0-2"": 0.3862774670124054, ""1-2"": -0.020680952817201614}"
85,0.02800680,"{""0-1"": 0.050936292856931686, ""0-2"": 0.06117558851838112, ""1-2"": -0.028091495856642723}"
86,-0.07519328,"{""0-1"": -0.07519327849149704}"
87,0.02022960,"{""0-1"": 0.05620163679122925, ""0-2"": -0.024703610688447952, ""1-2"": 0.0291907861828804}"
88,0.00930153,"{""0-1"": -0.0019004683708772063, ""0-2"": 0.010118520818650723, ""1-2"": 0.019686536863446236}"
89,0.89515424,"{""0-1"": 0.8951542377471924}"
90,-0.05609248,"{""0-1"": -0.08289866894483566, ""0-2"": -0.0061233690939843655, ""1-2"": -0.07925540208816528}"
91,0.02399132,"{""0-1"": 0.0850665271282196, ""0-2"": -0.03591569513082504, ""1-2"": 0.022823140025138855}"
92,0.27464846,"{""0-1"": 0.2746484577655792}"
93,0.06229145,"{""0-1"": 0.08204327523708344, ""0-2"": 0.04647207632660866, ""1-2"": 0.05835900083184242}"
94,0.50455229,"{""0-1"": 0.9477649331092834, ""0-2"": 0.29910436272621155, ""1-2"": 0.266787588596344}"
95,0.01275972,"{""0-1"": 0.06826093047857285, ""0-2"": -0.0333741158246994, ""1-2"": 0.0033923436421900988}"
96,0.03397707,"{""0-1"": 0.11219856142997742, ""0-2"": 0.033438533544540405, ""1-2"": -0.04370589554309845}"
97,0.08489676,"{""0-1"": 0.22846347093582153, ""0-2"": -0.0827023833990097, ""1-2"": 0.10892918705940247}"
98,0.07352156,"{""0-1"": 0.16799670457839966, ""0-2"": -0.10110612958669662, ""1-2"": 0.15367409586906433}"
99,0.00000000,{}
100,-0.04309582,"{""0-1"": -0.14548565447330475, ""0-2"": 0.01142280362546444, ""1-2"": 0.004775379318743944}"
101,0.00062051,"{""0-1"": 0.02606792002916336, ""0-2"": 0.06580988317728043, ""1-2"": -0.09001626819372177}"
102,0.05340320,"{""0-1"": 0.02836264856159687, ""0-2"": 0.1031886488199234, ""1-2"": 0.028658295050263405}"
103,-0.07262796,"{""0-1"": -0.1811520904302597, ""0-2"": -0.03823649510741234, ""1-2"": 0.0015047133201733232}"
104,0.05512165,"{""0-1"": 0.1335274875164032, ""0-2"": 0.05338987708091736, ""1-2"": -0.021552415564656258}"
105,0.49185884,"{""0-1"": 0.4918588399887085}"
106,0.03108060,"{""0-1"": 0.03108060173690319}"
107,-0.00908104,"{""0-1"": 0.11487618833780289, ""0-2"": -0.07138241082429886, ""1-2"": -0.07073689252138138}"
108,-0.00228099,"{""0-1"": -0.0022809929214417934}"
109,0.01539877,"{""0-1"": 0.07532475143671036, ""0-2"": -0.05393172800540924, ""1-2"": 0.0248032845556736}"
110,-0.01517448,"{""0-1"": -0.07458227872848511, ""0-2"": 0.020425118505954742, ""1-2"": 0.00863371230661869}"
111,-0.00221756,"{""0-1"": -0.0022175635676831007}"
112,0.06504405,"{""0-1"": 0.11560610681772232, ""0-2"": -0.07602526247501373, ""1-2"": 0.15555131435394287}"
113,0.12838367,"{""0-1"": 0.4067912697792053, ""0-2"": 0.05939251556992531, ""1-2"": -0.08103276789188385}"
114,0.00000000,{}
115,0.00000000,{}
116,0.43505631,"{""0-1"": 0.9985724091529846, ""0-2"": 0.13523995876312256, ""1-2"": 0.17135655879974365}"
117,0.00201359,"{""0-1"": 0.007740918546915054, ""0-2"": -0.07038532942533493, ""1-2"": 0.06868516653776169}"
118,0.00000000,{}
119,0.42367283,"{""0-1"": 0.4236728250980377}"
120,0.01744252,"{""0-1"": 0.009217078797519207, ""0-2"": -0.0025021694600582123, ""1-2"": 0.045612651854753494}"
121,0.10008323,"{""0-1"": 0.10008323192596436}"
