patient_index,mean_pairwise_cosine,pair_cosines
860,0.00000000,{}
861,-0.01322157,"{""0-1"": 0.018976284191012383, ""0-2"": -0.10204128921031952, ""1-2"": 0.043400298804044724}"
862,0.22850273,"{""0-1"": 0.22932103276252747, ""0-2"": 0.106541208922863, ""1-2"": 0.3496459424495697}"
863,0.11443802,"{""0-1"": 0.1144380196928978}"
864,0.99289566,"{""0-1"": 0.9928956627845764}"
865,0.01577262,"{""0-1"": 0.018181482329964638, ""0-2"": -0.02207101136445999, ""1-2"": 0.05120740085840225}"
866,0.37353451,"{""0-1"": 0.9678659439086914, ""0-2"": 0.19238363206386566, ""1-2"": -0.03964604064822197}"
867,0.08327621,"{""0-1"": 0.361208975315094, ""0-2"": -0.10392747074365616, ""1-2"": -0.007452887482941151}"
868,0.12483284,"{""0-1"": 0.12483283877372742}"
869,0.04673792,"{""0-1"": 0.005310865584760904, ""0-2"": 0.019250161945819855, ""1-2"": 0.11565272510051727}"
870,0.13285148,"{""0-1"": 0.339713454246521, ""0-2"": -0.004619685001671314, ""1-2"": 0.06346067786216736}"
871,0.09465718,"{""0-1"": 0.13617199659347534, ""0-2"": -0.0057703605853021145, ""1-2"": 0.15356990694999695}"
872,-0.07771640,"{""0-1"": -0.33057916164398193, ""0-2"": -0.0010029033292084932, ""1-2"": 0.09843286126852036}"
873,0.00000000,{}
874,-0.04895522,"{""0-1"": -0.03451602905988693, ""0-2"": -0.05081320181488991, ""1-2"": -0.06153643876314163}"
875,0.05340320,"{""0-1"": 0.02836264856159687, ""0-2"": 0.1031886488199234, ""1-2"": 0.028658295050263405}"
876,0.06803690,"{""0-1"": -0.04485100135207176, ""0-2"": 0.20039862394332886, ""1-2"": 0.048563066869974136}"
877,-0.02487059,"{""0-1"": -0.05336777865886688, ""0-2"": -0.022157205268740654, ""1-2"": 0.0009132205741479993}"
878,0.01393915,"{""0-1"": 0.0607878603041172, ""0-2"": 0.002873356221243739, ""1-2"": -0.021843764930963516}"
879,0.57708759,"{""0-1"": 0.6310034990310669, ""0-2"": 0.30053064227104187, ""1-2"": 0.7997286319732666}"
880,0.34146178,"{""0-1"": 0.34146177768707275}"
881,-0.02364778,"{""0-1"": -0.02364778332412243}"
882,-0.05402028,"{""0-1"": -0.1094113141298294, ""0-2"": -0.11128867417573929, ""1-2"": 0.058639153838157654}"
883,-0.01039100,"{""0-1"": -0.05334796383976936, ""0-2"": 0.014261260628700256, ""1-2"": 0.007913701236248016}"
884,-0.01192537,"{""0-1"": -0.09468312561511993, ""0-2"": 0.06639780849218369, ""1-2"": -0.007490804884582758}"
885,-0.00047462,"{""0-1"": -0.018356701359152794, ""0-2"": 0.01666017435491085, ""1-2"": 0.000272677862085402}"
886,0.10276836,"{""0-1"": 0.23149414360523224, ""0-2"": 0.109153613448143, ""1-2"": -0.032342664897441864}"
887,0.10349418,"{""0-1"": 0.2544671893119812, ""0-2"": 0.009534776210784912, ""1-2"": 0.04648057743906975}"
888,0.00172891,"{""0-1"": 0.006167151965200901, ""0-2"": -0.014179853722453117, ""1-2"": 0.013199442066252232}"
889,0.09379811,"{""0-1"": 0.09379810839891434}"
890,0.10349418,"{""0-1"": 0.2544671893119812, ""0-2"": 0.009534776210784912, ""1-2"": 0.04648057743906975}"
891,0.06658171,"{""0-1"": 0.1567537635564804, ""0-2"": 0.038359057158231735, ""1-2"": 0.004632310941815376}"
892,0.31656301,"{""0-1"": 0.07504531741142273, ""0-2"": 0.44486749172210693, ""1-2"": 0.42977622151374817}"
893,0.37756286,"{""0-1"": 0.9991487264633179, ""0-2"": 0.06785760074853897, ""1-2"": 0.06568226218223572}"
894,0.20410988,"{""0-1"": -0.012007858604192734, ""0-2"": 0.24518650770187378, ""1-2"": 0.37915098667144775}"
895,0.99728370,"{""0-1"": 0.9972836971282959}"
896,0.03776784,"{""0-1"": 0.020609837025403976, ""0-2"": 0.0813210979104042, ""1-2"": 0.011372574605047703}"
897,0.08783410,"{""0-1"": 0.08783410489559174}"
898,-0.11039317,"{""0-1"": -0.23774079978466034, ""0-2"": -0.063090480864048, ""1-2"": -0.030348218977451324}"
899,0.01763926,"{""0-1"": 0.18532174825668335, ""0-2"": -0.05277983099222183, ""1-2"": -0.07962413877248764}"
900,0.04540854,"{""0-1"": 0.03151921182870865, ""0-2"": -0.02636449597775936, ""1-2"": 0.13107089698314667}"
901,0.00879287,"{""0-1"": 0.007881345227360725, ""0-2"": 0.011783111840486526, ""1-2"": 0.00671416288241744}"
902,1.00000024,"{""0-1"": 1.000000238418579}"
903,0.00000000,{}
904,0.04360225,"{""0-1"": 0.04916982352733612, ""0-2"": 0.10410823673009872, ""1-2"": -0.022471321746706963}"
905,-0.02213737,"{""0-1"": -0.022137371823191643}"
906,0.37972844,"{""0-1"": 0.37972843647003174}"
907,0.00887719,"{""0-1"": 0.008310608565807343, ""0-2"": -0.004037680570036173, ""1-2"": 0.022358635440468788}"
908,-0.07958032,"{""0-1"": -0.08908546715974808, ""0-2"": 0.0030814888887107372, ""1-2"": -0.15273697674274445}"
909,-0.03947049,"{""0-1"": 0.024390054866671562, ""0-2"": -0.10677040368318558, ""1-2"": -0.03603113442659378}"
910,-0.00519296,"{""0-1"": -0.07147117704153061, ""0-2"": 0.014982637017965317, ""1-2"": 0.04090966656804085}"
911,0.38420321,"{""0-1"": 0.036931272596120834, ""0-2"": 0.297712504863739, ""1-2"": 0.8179658651351929}"
912,0.38143623,"{""0-1"": 0.06710580736398697, ""0-2"": 0.17677226662635803, ""1-2"": 0.9004306197166443}"
913,0.49402985,"{""0-1"": 0.49402984976768494}"
914,0.39691651,"{""0-1"": 0.9500813484191895, ""0-2"": 0.18666043877601624, ""1-2"": 0.054007742553949356}"
915,0.05501590,"{""0-1"": 0.09359688311815262, ""0-2"": 0.07673200219869614, ""1-2"": -0.005281183868646622}"
916,-0.02840607,"{""0-1"": -0.06722782552242279, ""0-2"": 0.014246383681893349, ""1-2"": -0.03223678097128868}"
917,-0.07311018,"{""0-1"": -0.05229037255048752, ""0-2"": -0.05917660519480705, ""1-2"": -0.10786356776952744}"
918,0.99996769,"{""0-1"": 0.9999676942825317}"
919,0.00000000,{}
920,0.02203699,"{""0-1"": 0.046028561890125275, ""0-2"": 0.009980724193155766, ""1-2"": 0.01010169554501772}"
921,0.14081665,"{""0-1"": 0.15156255662441254, ""0-2"": -0.013457666151225567, ""1-2"": 0.2843450605869293}"
922,-0.00400445,"{""0-1"": 0.027053462341427803, ""0-2"": 0.031455039978027344, ""1-2"": -0.07052183896303177}"
923,0.00000000,{}
924,0.26849694,"{""0-1"": 0.6038392186164856, ""0-2"": 0.12435778230428696, ""1-2"": 0.07729382812976837}"
925,-0.02001416,"{""0-1"": -0.061781272292137146, ""0-2"": 0.03159027174115181, ""1-2"": -0.02985147200524807}"
926,0.25344735,"{""0-1"": 0.25344735383987427}"
927,0.35724188,"{""0-1"": 0.7183456420898438, ""0-2"": 0.23641471564769745, ""1-2"": 0.11696527153253555}"
928,0.42882824,"{""0-1"": 0.998113751411438, ""0-2"": 0.12114069610834122, ""1-2"": 0.1672302633523941}"
929,0.27251567,"{""0-1"": 0.574155867099762, ""0-2"": 0.1694050282239914, ""1-2"": 0.07398611307144165}"
930,0.31924876,"{""0-1"": 0.9078142046928406, ""0-2"": 0.01820257492363453, ""1-2"": 0.031729500740766525}"
931,0.05975408,"{""0-1"": 0.059754081070423126}"
932,0.01702334,"{""0-1"": -0.07237742841243744, ""0-2"": -0.14499366283416748, ""1-2"": 0.2684411108493805}"
933,0.37585869,"{""0-1"": 0.9961907267570496, ""0-2"": 0.06834235787391663, ""1-2"": 0.06304298341274261}"
934,0.02603612,"{""0-1"": -0.04523303732275963, ""0-2"": -0.09779512882232666, ""1-2"": 0.22113654017448425}"
935,0.42331930,"{""0-1"": 0.9973248839378357, ""0-2"": 0.11911379545927048, ""1-2"": 0.15351922810077667}"
936,0.07481562,"{""0-1"": 0.07481561601161957}"
937,0.09330867,"{""0-1"": 0.006676386576145887, ""0-2"": 0.06302589923143387, ""1-2"": 0.2102237194776535}"
938,0.07246090,"{""0-1"": -0.0538170263171196, ""0-2"": 0.07830490916967392, ""1-2"": 0.1928948163986206}"
939,0.12823491,"{""0-1"": 0.14706699550151825, ""0-2"": 0.25334376096725464, ""1-2"": -0.015706028789281845}"
940,0.23973243,"{""0-1"": 0.4224351644515991, ""0-2"": 0.05932086706161499, ""1-2"": 0.2374412566423416}"
941,0.15655891,"{""0-1"": -0.0897342637181282, ""0-2"": 0.4823315441608429, ""1-2"": 0.07707945257425308}"
942,0.04541218,"{""0-1"": -0.09698622673749924, ""0-2"": 0.2712368667125702, ""1-2"": -0.038014113903045654}"
943,0.47849321,"{""0-1"": 0.49133065342903137, ""0-2"": 0.10626567900180817, ""1-2"": 0.8378832936286926}"
944,0.00000000,{}
945,0.02022960,"{""0-1"": 0.05620163679122925, ""0-2"": -0.024703610688447952, ""1-2"": 0.0291907861828804}"
946,0.00266307,"{""0-1"": 0.004929906688630581, ""0-2"": -0.012065451592206955, ""1-2"": 0.015124750323593616}"
947,0.55477500,"{""0-1"": 0.5547749996185303}"
948,0.00204730,"{""0-1"": 0.0020472954493016005}"
949,-0.01809346,"{""0-1"": -0.08405205607414246, ""0-2"": 0.07376137375831604, ""1-2"": -0.04398969188332558}"
950,0.12578952,"{""0-1"": 0.12578952312469482}"
951,0.14750926,"{""0-1"": -0.10323455929756165, ""0-2"": 0.4841967225074768, ""1-2"": 0.061565615236759186}"
952,0.23567869,"{""0-1"": 0.6428834795951843, ""0-2"": 0.06102537363767624, ""1-2"": 0.003127203555777669}"
953,0.99999994,"{""0-1"": 0.9999999403953552}"
954,0.32780620,"{""0-1"": 0.3278062045574188}"
955,-0.06402165,"{""0-1"": -0.06402165442705154}"
956,0.43505631,"{""0-1"": 0.9985724091529846, ""0-2"": 0.13523995876312256, ""1-2"": 0.17135655879974365}"
957,0.02979582,"{""0-1"": 0.007780540268868208, ""0-2"": 0.14130756258964539, ""1-2"": -0.05970064550638199}"
958,0.00037569,"{""0-1"": 0.00037569133564829826}"
959,0.16458681,"{""0-1"": -0.10907803475856781, ""0-2"": -0.1860055774450302, ""1-2"": 0.7888440489768982}"
960,0.99998999,"{""0-1"": 0.9999899864196777}"
961,0.05760589,"{""0-1"": 0.06533912569284439, ""0-2"": 0.07913560420274734, ""1-2"": 0.028342926874756813}"
962,0.03569198,"{""0-1"": 0.10216505080461502, ""0-2"": -0.022278785705566406, ""1-2"": 0.02718966081738472}"
963,0.35363157,"{""0-1"": 0.20732228457927704, ""0-2"": 0.751193106174469, ""1-2"": 0.10237930715084076}"
964,-0.10242679,"{""0-1"": -0.09098009765148163, ""0-2"": -0.13464078307151794, ""1-2"": -0.08165949583053589}"
965,0.05563632,"{""0-1"": 0.022041985765099525, ""0-2"": 0.010820041410624981, ""1-2"": 0.13404692709445953}"
966,-0.00771301,"{""0-1"": -0.08620866388082504, ""0-2"": 0.042628273367881775, ""1-2"": 0.020441358909010887}"
967,0.09522273,"{""0-1"": 0.09522272646427155}"
968,0.02172650,"{""0-1"": 0.021726496517658234}"
969,0.21014783,"{""0-1"": 0.030738333240151405, ""0-2"": 0.019277581945061684, ""1-2"": 0.5804275870323181}"
970,0.07152809,"{""0-1"": 0.07152809202671051}"
971,0.37497659,"{""0-1"": 0.9989392161369324, ""0-2"": 0.06665526330471039, ""1-2"": 0.05933529883623123}"
972,0.00000000,{}
973,-0.01617121,"{""0-1"": -0.060349129140377045, ""0-2"": 0.036884892731904984, ""1-2"": -0.02504938654601574}"
974,0.17599726,"{""0-1"": 0.17599725723266602}"
975,-0.05149413,"{""0-1"": -0.07457299530506134, ""0-2"": -0.039409250020980835, ""1-2"": -0.04050014913082123}"
976,-0.01817022,"{""0-1"": -0.060037095099687576, ""0-2"": -0.011965067125856876, ""1-2"": 0.017491502687335014}"
977,0.04305853,"{""0-1"": 0.04142608493566513, ""0-2"": 0.008112871088087559, ""1-2"": 0.07963662594556808}"
978,0.00091760,"{""0-1"": -0.006717244628816843, ""0-2"": -0.019862955436110497, ""1-2"": 0.02933300845324993}"
979,0.72272015,"{""0-1"": 0.7227201461791992}"
980,0.00325688,"{""0-1"": 0.06473559886217117, ""0-2"": 0.017050612717866898, ""1-2"": -0.07201558351516724}"
981,-0.00155061,"{""0-1"": -0.001550614950247109}"
982,0.01879702,"{""0-1"": -0.051307037472724915, ""0-2"": 0.10319625586271286, ""1-2"": 0.004501852672547102}"
983,0.00315130,"{""0-1"": 0.05176273733377457, ""0-2"": -0.06831660121679306, ""1-2"": 0.026007773354649544}"
984,0.04323025,"{""0-1"": 0.11080333590507507, ""0-2"": 0.03933514654636383, ""1-2"": -0.020447727292776108}"
985,0.22338274,"{""0-1"": 0.4108521044254303, ""0-2"": -0.016991781070828438, ""1-2"": 0.27628788352012634}"
986,-0.04520015,"{""0-1"": -0.04520014673471451}"
987,0.44862330,"{""0-1"": 0.44862329959869385}"
988,0.02511089,"{""0-1"": 0.025110894814133644}"
989,0.31656301,"{""0-1"": 0.07504531741142273, ""0-2"": 0.44486749172210693, ""1-2"": 0.42977622151374817}"
990,0.03159296,"{""0-1"": -0.01761735789477825, ""0-2"": 0.12788669764995575, ""1-2"": -0.015490452758967876}"
991,0.54008216,"{""0-1"": 0.5400821566581726}"
992,0.54581000,"{""0-1"": 0.953276515007019, ""0-2"": 0.2988864481449127, ""1-2"": 0.385267049074173}"
993,0.13500432,"{""0-1"": 0.503017246723175, ""0-2"": -0.08138195425271988, ""1-2"": -0.016622330993413925}"
994,-0.05009904,"{""0-1"": -0.04293568432331085, ""0-2"": -0.09347473829984665, ""1-2"": -0.01388671062886715}"
995,-0.05889191,"{""0-1"": -0.121371790766716, ""0-2"": 0.01013103500008583, ""1-2"": -0.06543497741222382}"
996,0.06001718,"{""0-1"": 0.0600171759724617}"
997,0.03156104,"{""0-1"": -0.00818431656807661, ""0-2"": 0.05099222809076309, ""1-2"": 0.051875196397304535}"
998,0.05620120,"{""0-1"": 0.028538212180137634, ""0-2"": -0.030531633645296097, ""1-2"": 0.17059703171253204}"
999,0.10994210,"{""0-1"": 0.1640259474515915, ""0-2"": 0.06240175664424896, ""1-2"": 0.10339859873056412}"
1000,0.25827539,"{""0-1"": 0.2582753896713257}"
1001,0.42705667,"{""0-1"": 0.19741147756576538, ""0-2"": 0.11688750237226486, ""1-2"": 0.9668710231781006}"
1002,0.99580830,"{""0-1"": 0.9958083033561707}"
1003,-0.05606611,"{""0-1"": -0.10019484907388687, ""0-2"": 0.05884413793683052, ""1-2"": -0.12684762477874756}"
1004,0.36576274,"{""0-1"": 0.5934686064720154, ""0-2"": 0.43601396679878235, ""1-2"": 0.06780565530061722}"
1005,0.70658207,"{""0-1"": 0.7065820693969727}"
1006,0.12466035,"{""0-1"": 0.16805706918239594, ""0-2"": -0.11454343795776367, ""1-2"": 0.32046741247177124}"
1007,-0.08650105,"{""0-1"": -0.08650105446577072}"
1008,-0.04293435,"{""0-1"": -0.14642760157585144, ""0-2"": -0.031190630048513412, ""1-2"": 0.04881518334150314}"
1009,0.09064578,"{""0-1"": 0.22095614671707153, ""0-2"": 0.03499326854944229, ""1-2"": 0.01598791591823101}"
1010,-0.00515290,"{""0-1"": -0.06655847281217575, ""0-2"": 0.05288385599851608, ""1-2"": -0.0017840872751548886}"
1011,0.66775173,"{""0-1"": 0.6677517294883728}"
1012,-0.03786381,"{""0-1"": 0.02176356129348278, ""0-2"": -0.08994778990745544, ""1-2"": -0.045407190918922424}"
1013,0.15827722,"{""0-1"": 0.08920495212078094, ""0-2"": -0.08070626854896545, ""1-2"": 0.46633297204971313}"
1014,0.03100037,"{""0-1"": 0.0568370595574379, ""0-2"": -0.023897774517536163, ""1-2"": 0.06006181240081787}"
1015,0.99998999,"{""0-1"": 0.9999899864196777}"
1016,0.07304907,"{""0-1"": 0.46692922711372375, ""0-2"": -0.14245645701885223, ""1-2"": -0.10532554984092712}"
1017,-0.02213737,"{""0-1"": -0.022137371823191643}"
1018,0.02373148,"{""0-1"": 0.023731479421257973}"
1019,0.04382282,"{""0-1"": -0.016376033425331116, ""0-2"": 0.15932606160640717, ""1-2"": -0.01148155890405178}"
1020,0.14225674,"{""0-1"": 0.05378274992108345, ""0-2"": -0.09722746163606644, ""1-2"": 0.47021493315696716}"
1021,-0.02340807,"{""0-1"": -0.20242516696453094, ""0-2"": 0.13651426136493683, ""1-2"": -0.0043133036233484745}"
1022,0.01746045,"{""0-1"": 0.017460454255342484}"
1023,-0.01588342,"{""0-1"": -0.015883417800068855}"
1024,-0.05734196,"{""0-1"": -0.06442839652299881, ""0-2"": -0.022733619436621666, ""1-2"": -0.08486387133598328}"
1025,0.03475137,"{""0-1"": 0.09661846607923508, ""0-2"": 0.06918755173683167, ""1-2"": -0.06155190244317055}"
1026,0.99998999,"{""0-1"": 0.9999899864196777}"
1027,0.10756794,"{""0-1"": 0.10756794363260269}"
1028,0.06098549,"{""0-1"": 0.04915326088666916, ""0-2"": 0.18307268619537354, ""1-2"": -0.049269478768110275}"
1029,0.78990084,"{""0-1"": 0.7899008393287659}"
1030,0.26195797,"{""0-1"": 0.91124427318573, ""0-2"": -0.044660527259111404, ""1-2"": -0.08070983737707138}"
1031,-0.05955253,"{""0-1"": -0.04584458842873573, ""0-2"": -0.0946282371878624, ""1-2"": -0.0381847620010376}"
1032,0.77815557,"{""0-1"": 0.7781555652618408}"
1033,0.18490171,"{""0-1"": 0.3496624827384949, ""0-2"": 0.01256290078163147, ""1-2"": 0.19247974455356598}"
1034,0.33664820,"{""0-1"": 0.33664819598197937}"
1035,0.02330815,"{""0-1"": 0.08528566360473633, ""0-2"": -0.08066004514694214, ""1-2"": 0.06529884040355682}"
1036,0.43350080,"{""0-1"": 0.4335007965564728}"
1037,0.12994900,"{""0-1"": 0.12994900345802307}"
1038,0.99999994,"{""0-1"": 0.9999999403953552}"
1039,0.25827539,"{""0-1"": 0.2582753896713257}"
1040,0.15177857,"{""0-1"": 0.46319499611854553, ""0-2"": -0.07436880469322205, ""1-2"": 0.06650950759649277}"
1041,1.00000012,"{""0-1"": 1.0000001192092896}"
1042,0.01212851,"{""0-1"": -0.05878674238920212, ""0-2"": 0.0790492594242096, ""1-2"": 0.01612302102148533}"
1043,0.89660031,"{""0-1"": 0.8966003060340881}"
1044,0.11161306,"{""0-1"": 0.029451433569192886, ""0-2"": -0.011507152579724789, ""1-2"": 0.31689488887786865}"
1045,0.17823241,"{""0-1"": 0.26807862520217896, ""0-2"": 0.08402948826551437, ""1-2"": 0.18258912861347198}"
1046,0.99289566,"{""0-1"": 0.9928956627845764}"
1047,0.10671875,"{""0-1"": 0.06921951472759247, ""0-2"": 0.2211885005235672, ""1-2"": 0.02974824793636799}"
1048,0.29821052,"{""0-1"": 0.826653778553009, ""0-2"": 0.05391089990735054, ""1-2"": 0.014066895470023155}"
1049,0.24653423,"{""0-1"": 0.4721592366695404, ""0-2"": 0.11197911947965622, ""1-2"": 0.15546433627605438}"
1050,-0.08520643,"{""0-1"": -0.21345387399196625, ""0-2"": -0.05262650176882744, ""1-2"": 0.01046107430011034}"
1051,0.06311180,"{""0-1"": 0.14789463579654694, ""0-2"": 0.021257048472762108, ""1-2"": 0.020183704793453217}"
1052,0.18109426,"{""0-1"": 0.3899065852165222, ""0-2"": 0.011370446532964706, ""1-2"": 0.14200575649738312}"
1053,0.00159489,"{""0-1"": 0.0015948852524161339}"
1054,0.84570813,"{""0-1"": 0.8457081317901611}"
1055,0.00000000,{}
1056,0.22365613,"{""0-1"": 0.22365613281726837}"
1057,-0.01846798,"{""0-1"": -0.09491956979036331, ""0-2"": -0.03997527435421944, ""1-2"": 0.07949091494083405}"
1058,0.89673531,"{""0-1"": 0.8967353105545044}"
1059,0.20974442,"{""0-1"": 0.15852677822113037, ""0-2"": 0.15584337711334229, ""1-2"": 0.3148631155490875}"
1060,1.00000012,"{""0-1"": 1.0000001192092896}"
1061,0.34388459,"{""0-1"": -0.0010637579252943397, ""0-2"": 0.045095909386873245, ""1-2"": 0.9876216053962708}"
1062,0.00325688,"{""0-1"": 0.06473559886217117, ""0-2"": 0.017050612717866898, ""1-2"": -0.07201558351516724}"
1063,-0.00432732,"{""0-1"": -0.0703892931342125, ""0-2"": 0.03275005891919136, ""1-2"": 0.024657288566231728}"
1064,0.03405996,"{""0-1"": 0.08992564678192139, ""0-2"": 0.01305481605231762, ""1-2"": -0.0008005917770788074}"
1065,0.45925227,"{""0-1"": 0.03776510804891586, ""0-2"": 0.5867666006088257, ""1-2"": 0.7532250881195068}"
1066,0.00325688,"{""0-1"": 0.06473559886217117, ""0-2"": 0.017050612717866898, ""1-2"": -0.07201558351516724}"
1067,0.09868832,"{""0-1"": 0.08236207813024521, ""0-2"": 0.18758715689182281, ""1-2"": 0.02611573040485382}"
1068,0.18336262,"{""0-1"": 0.08442430943250656, ""0-2"": 0.3155020475387573, ""1-2"": 0.1501614898443222}"
1069,0.01245140,"{""0-1"": -0.034737229347229004, ""0-2"": 0.048566076904535294, ""1-2"": 0.023525353521108627}"
1070,0.40519119,"{""0-1"": 0.1823035627603531, ""0-2"": 0.953059732913971, ""1-2"": 0.08021026849746704}"
1071,0.07900122,"{""0-1"": 0.1006147637963295, ""0-2"": 0.040590763092041016, ""1-2"": 0.09579813480377197}"
1072,1.00000024,"{""0-1"": 1.000000238418579}"
1073,0.00000000,{}
1074,0.92665493,"{""0-1"": 0.9266549348831177}"
1075,0.14191743,"{""0-1"": 0.11875511705875397, ""0-2"": 0.03564819321036339, ""1-2"": 0.2713489830493927}"
1076,-0.02238472,"{""0-1"": -0.03154793381690979, ""0-2"": 0.0024091308005154133, ""1-2"": -0.038015350699424744}"
1077,1.00000012,"{""0-1"": 1.0000001192092896}"
1078,0.37970769,"{""0-1"": 0.9995258450508118, ""0-2"": 0.06964891403913498, ""1-2"": 0.06994830071926117}"
1079,-0.04585270,"{""0-1"": -0.07603426277637482, ""0-2"": -0.032319989055395126, ""1-2"": -0.029203852638602257}"
1080,0.01759595,"{""0-1"": 0.024394024163484573, ""0-2"": 0.019885338842868805, ""1-2"": 0.00850848387926817}"
1081,0.00000000,{}
1082,0.02022960,"{""0-1"": 0.05620163679122925, ""0-2"": -0.024703610688447952, ""1-2"": 0.0291907861828804}"
1083,0.01599987,"{""0-1"": 0.006025914568454027, ""0-2"": 0.05141300708055496, ""1-2"": -0.00943931844085455}"
1084,-0.04621918,"{""0-1"": -0.030454441905021667, ""0-2"": 0.010180998593568802, ""1-2"": -0.11838409304618835}"
1085,1.00000012,"{""0-1"": 1.0000001192092896}"
1086,0.15578437,"{""0-1"": 0.15578436851501465}"
1087,0.99998999,"{""0-1"": 0.9999899864196777}"
1088,0.19547733,"{""0-1"": -0.08879847824573517, ""0-2"": -0.08687291294336319, ""1-2"": 0.7621033787727356}"
1089,-0.01616975,"{""0-1"": -0.016169754788279533}"
1090,-0.03061573,"{""0-1"": -0.030615726485848427}"
1091,0.27671722,"{""0-1"": 0.7691781520843506, ""0-2"": 0.06518786400556564, ""1-2"": -0.004214359913021326}"
1092,-0.04750573,"{""0-1"": -0.09069906175136566, ""0-2"": -0.03631960228085518, ""1-2"": -0.015498530119657516}"
1093,0.33392991,"{""0-1"": 0.9199814796447754, ""0-2"": 0.030642619356513023, ""1-2"": 0.0511656291782856}"
1094,0.02605978,"{""0-1"": 0.025625178590416908, ""0-2"": 0.005262555554509163, ""1-2"": 0.04729161411523819}"
1095,0.02345746,"{""0-1"": -0.13407684862613678, ""0-2"": 0.09281551092863083, ""1-2"": 0.11163372546434402}"
1096,1.00000024,"{""0-1"": 1.000000238418579}"
1097,-0.03634686,"{""0-1"": -0.036346856504678726}"
1098,0.00000000,{}
1099,0.12483284,"{""0-1"": 0.12483283877372742}"
1100,-0.02748679,"{""0-1"": -0.04083012044429779, ""0-2"": 0.006903624627739191, ""1-2"": -0.048533860594034195}"
1101,0.00000000,{}
1102,0.00000000,{}
1103,0.18513335,"{""0-1"": 0.18513335287570953}"
1104,0.02511089,"{""0-1"": 0.025110894814133644}"
1105,0.30521664,"{""0-1"": -3.449669384281151e-05, ""0-2"": 0.8644580841064453, ""1-2"": 0.05122632905840874}"
1106,0.02961336,"{""0-1"": 0.02961336262524128}"
1107,0.49575916,"{""0-1"": 0.49575915932655334}"
1108,0.82680416,"{""0-1"": 0.8268041610717773}"
1109,0.00172891,"{""0-1"": 0.006167151965200901, ""0-2"": -0.014179853722453117, ""1-2"": 0.013199442066252232}"
1110,-0.05915940,"{""0-1"": -0.05915939807891846}"
1111,0.10010627,"{""0-1"": 0.10010626912117004}"
1112,0.87211168,"{""0-1"": 0.8721116781234741}"
1113,0.02508273,"{""0-1"": 0.01965644396841526, ""0-2"": 0.01744202710688114, ""1-2"": 0.03814971446990967}"
1114,0.47767097,"{""0-1"": 0.47767096757888794}"
1115,0.00000000,{}
1116,0.15091127,"{""0-1"": 0.4475075304508209, ""0-2"": -0.0768141821026802, ""1-2"": 0.0820404663681984}"
1117,0.01763926,"{""0-1"": 0.18532174825668335, ""0-2"": -0.05277983099222183, ""1-2"": -0.07962413877248764}"
1118,0.65400851,"{""0-1"": 0.6540085077285767}"
1119,0.02438729,"{""0-1"": 0.04151546582579613, ""0-2"": 0.015587070025503635, ""1-2"": 0.016059324145317078}"
1120,0.43205129,"{""0-1"": 0.8843370079994202, ""0-2"": 0.06456243991851807, ""1-2"": 0.3472544252872467}"
1121,0.41506714,"{""0-1"": 0.1195400282740593, ""0-2"": 0.2079334557056427, ""1-2"": 0.9177279472351074}"
1122,0.65861514,"{""0-1"": 0.7301733493804932, ""0-2"": 0.7570895552635193, ""1-2"": 0.4885825216770172}"
1123,0.23544295,"{""0-1"": 0.23544295132160187}"
1124,0.07070504,"{""0-1"": 0.06588628143072128, ""0-2"": -0.10789620876312256, ""1-2"": 0.25412505865097046}"
1125,0.54343170,"{""0-1"": 0.5434316992759705}"
1126,0.12992148,"{""0-1"": 0.12992148101329803}"
1127,0.00000000,{}
1128,0.09400831,"{""0-1"": 0.15632669627666473, ""0-2"": 0.09501838684082031, ""1-2"": 0.030679851770401}"
1129,0.96989322,"{""0-1"": 0.969893217086792}"
1130,0.02145758,"{""0-1"": 0.021457582712173462}"
1131,0.28015077,"{""0-1"": 0.038552090525627136, ""0-2"": 0.22117294371128082, ""1-2"": 0.5807272791862488}"
1132,0.24356805,"{""0-1"": 0.2435680478811264}"
1133,-0.01782640,"{""0-1"": 0.0043084463104605675, ""0-2"": -0.08313023298978806, ""1-2"": 0.025342576205730438}"
1134,-0.01515270,"{""0-1"": -0.049259476363658905, ""0-2"": -0.015760177746415138, ""1-2"": 0.019561542198061943}"
1135,0.08835787,"{""0-1"": 0.11340087652206421, ""0-2"": 0.10538622736930847, ""1-2"": 0.04628651961684227}"
1136,0.00000000,{}
1137,0.99996769,"{""0-1"": 0.9999676942825317}"
1138,-0.02880433,"{""0-1"": -0.0746530145406723, ""0-2"": 0.10403543710708618, ""1-2"": -0.11579541116952896}"
1139,0.52295169,"{""0-1"": 0.8410077095031738, ""0-2"": 0.4088248312473297, ""1-2"": 0.319022536277771}"
1140,0.01369350,"{""0-1"": 0.028960848227143288, ""0-2"": 0.022219926118850708, ""1-2"": -0.010100264102220535}"
1141,0.37516804,"{""0-1"": 0.8078612685203552, ""0-2"": 0.33935970067977905, ""1-2"": -0.021716848015785217}"
1142,0.09329349,"{""0-1"": 0.09682592004537582, ""0-2"": 0.045950766652822495, ""1-2"": 0.13710379600524902}"
1143,-0.04750573,"{""0-1"": -0.09069906175136566, ""0-2"": -0.03631960228085518, ""1-2"": -0.015498530119657516}"
1144,-0.06841429,"{""0-1"": -0.06841429322957993}"
1145,0.00000000,{}
